"","q16","reltrad","income"
"26717"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"26718"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26719"," Protestant "," Mainline Protestant Churches ","10 to under $20,000"
"26720"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"26721"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"26722"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26723"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26724"," Roman Catholic "," Catholic ","30 to under $40,000"
"26725"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"26726"," Unity; Unity Church Christ Church Unity (VOL) "," Other Christian ","100 to under $150,000"
"26727"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26728"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26729"," Protestant "," Historically Black Protestant Churches ","50 to under $75,000"
"26730"," Agnostic (not sure if there is a God) "," Unaffiliated ","75 to under $100,000"
"26731"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26732"," Protestant "," Historically Black Protestant Churches ","10 to under $20,000"
"26733"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26734"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26735"," Wica (Wiccan) (VOL) "," Other Faiths ","75 to under $100,000"
"26736"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26737"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26738"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26739"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26740"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26741"," Roman Catholic "," Catholic ","10 to under $20,000"
"26742"," Roman Catholic "," Catholic ","50 to under $75,000"
"26743"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26744"," Roman Catholic "," Catholic ","50 to under $75,000"
"26745"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26746"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26747"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26748"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26749"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26750"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26751"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26752"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26753"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26754"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"26755"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26756"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26757"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26758"," Roman Catholic "," Catholic ","50 to under $75,000"
"26759"," Jewish (Judaism) "," Jewish ","20 to under $30,000"
"26760"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26761"," Siddhayoga (VOL) "," Other World Religions ","50 to under $75,000"
"26762"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26763"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"26764"," Nothing in particular "," Unaffiliated ","Less than $10,000"
"26765"," Roman Catholic "," Catholic ","40 to under $50,000"
"26766"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26767"," Jewish (Judaism) "," Jewish ","$150,000 or more"
"26768"," Roman Catholic "," Catholic ","100 to under $150,000"
"26769"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26770"," Roman Catholic "," Catholic ","20 to under $30,000"
"26771"," Protestant "," Historically Black Protestant Churches ","100 to under $150,000"
"26772"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26773"," Jewish (Judaism) "," Jewish ","Don't know/Refused (VOL.)"
"26774"," Nothing in particular "," Unaffiliated ","10 to under $20,000"
"26775"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26776"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26777"," Roman Catholic "," Catholic ","75 to under $100,000"
"26778"," Roman Catholic "," Catholic ","30 to under $40,000"
"26779"," Roman Catholic "," Catholic ","50 to under $75,000"
"26780"," Roman Catholic "," Catholic ","50 to under $75,000"
"26781"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26782"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","20 to under $30,000"
"26783"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26784"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26785"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"26786"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26787"," Agnostic (not sure if there is a God) "," Unaffiliated ","100 to under $150,000"
"26788"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26789"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26790"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26791"," Roman Catholic "," Catholic ","30 to under $40,000"
"26792"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26793"," Christian (VOL) "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26794"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26795"," Roman Catholic "," Catholic ","75 to under $100,000"
"26796"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26797"," Roman Catholic "," Catholic ","10 to under $20,000"
"26798"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26799"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26800"," Jehovah’s Witness (VOL) "," Jehovah's Witness ","75 to under $100,000"
"26801"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26802"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"26803"," Buddhist "," Buddhist ","20 to under $30,000"
"26804"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26805"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26806"," Roman Catholic "," Catholic ","20 to under $30,000"
"26807"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26808"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26809"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26810"," Roman Catholic "," Catholic ","50 to under $75,000"
"26811"," Nothing in particular "," Unaffiliated ","100 to under $150,000"
"26812"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26813"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"26814"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26815"," Jewish (Judaism) "," Jewish ","75 to under $100,000"
"26816"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26817"," Roman Catholic "," Catholic ","50 to under $75,000"
"26818"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26819"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26820"," Protestant "," Mainline Protestant Churches ","$150,000 or more"
"26821"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"26822"," Roman Catholic "," Catholic ","50 to under $75,000"
"26823"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"26824"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26825"," Roman Catholic "," Catholic ","40 to under $50,000"
"26826"," Nothing in particular "," Unaffiliated ","50 to under $75,000"
"26827"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"26828"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"26829"," Christian (VOL) "," Evangelical Protestant Churches ","20 to under $30,000"
"26830"," Roman Catholic "," Catholic ","30 to under $40,000"
"26831"," Roman Catholic "," Catholic ","Less than $10,000"
"26832"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26833"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"26834"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26835"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26836"," Pagan (VOL) "," Other Faiths ","10 to under $20,000"
"26837"," Roman Catholic "," Catholic ","75 to under $100,000"
"26838"," Protestant "," Evangelical Protestant Churches ","10 to under $20,000"
"26839"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26840"," Nothing in particular "," Unaffiliated ","40 to under $50,000"
"26841"," Roman Catholic "," Catholic ","30 to under $40,000"
"26842"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26843"," Protestant "," Mainline Protestant Churches ","20 to under $30,000"
"26844"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26845"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26846"," Nothing in particular "," Unaffiliated ","75 to under $100,000"
"26847"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26848"," Roman Catholic "," Catholic ","50 to under $75,000"
"26849"," Roman Catholic "," Catholic ","20 to under $30,000"
"26850"," Jewish (Judaism) "," Jewish ","Less than $10,000"
"26851"," Protestant "," Evangelical Protestant Churches ","50 to under $75,000"
"26852"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26853"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26854"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26855"," Roman Catholic "," Catholic ","40 to under $50,000"
"26856"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26857"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26858"," Roman Catholic "," Catholic ","30 to under $40,000"
"26859"," Roman Catholic "," Catholic ","50 to under $75,000"
"26860"," Roman Catholic "," Catholic ","20 to under $30,000"
"26861"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26862"," Buddhist "," Buddhist ","75 to under $100,000"
"26863"," Roman Catholic "," Catholic ","50 to under $75,000"
"26864"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26865"," Protestant "," Historically Black Protestant Churches ","30 to under $40,000"
"26866"," Muslim (Islam) "," Muslim ","75 to under $100,000"
"26867"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26868"," Nothing in particular "," Unaffiliated ","Don't know/Refused (VOL.)"
"26869"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26870"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26871"," Agnostic (not sure if there is a God) "," Unaffiliated ","50 to under $75,000"
"26872"," Roman Catholic "," Catholic ","Don't know/Refused (VOL.)"
"26873"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26874"," Protestant "," Mainline Protestant Churches ","30 to under $40,000"
"26875"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"26876"," Don’t know/Refused (VOL) "," Don’t know/refused (no information on religious affiliation) ","10 to under $20,000"
"26877"," Protestant "," Evangelical Protestant Churches ","75 to under $100,000"
"26878"," Roman Catholic "," Catholic ","50 to under $75,000"
"26879"," Protestant "," Historically Black Protestant Churches ","40 to under $50,000"
"26880"," Protestant "," Evangelical Protestant Churches ","40 to under $50,000"
"26881"," Protestant "," Evangelical Protestant Churches ","100 to under $150,000"
"26882"," Protestant "," Mainline Protestant Churches ","75 to under $100,000"
"26883"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26884"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26885"," Roman Catholic "," Catholic ","50 to under $75,000"
"26886"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26887"," Protestant "," Evangelical Protestant Churches ","Less than $10,000"
"26888"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26889"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26890"," Protestant "," Mainline Protestant Churches ","40 to under $50,000"
"26891"," Buddhist "," Buddhist ","20 to under $30,000"
"26892"," Protestant "," Mainline Protestant Churches ","Don't know/Refused (VOL.)"
"26893"," Roman Catholic "," Catholic ","10 to under $20,000"
"26894"," Protestant "," Evangelical Protestant Churches ","20 to under $30,000"
"26895"," Agnostic (not sure if there is a God) "," Unaffiliated ","100 to under $150,000"
"26896"," Protestant "," Historically Black Protestant Churches ","Don't know/Refused (VOL.)"
"26897"," Roman Catholic "," Catholic ","20 to under $30,000"
"26898"," Roman Catholic "," Catholic ","40 to under $50,000"
"26899"," Protestant "," Mainline Protestant Churches ","50 to under $75,000"
"26900"," Protestant "," Evangelical Protestant Churches ","30 to under $40,000"
"26901"," Nothing in particular "," Unaffiliated ","30 to under $40,000"
"26902"," Protestant "," Evangelical Protestant Churches ","Don't know/Refused (VOL.)"
"26903"," Mormon (Church of Jesus Christ of Latter-day Saints/LDS) "," Mormon ","20 to under $30,000"
